Customer_Name,Gender,Age,Region,Product,Units_Sold,Unit_Price,Payment_Method,Order_Date,Customer_Rating,Sales_Amount
Krishna Kumar,Female,42,South,Headphones,4,38447,Card,2/12/2024,2.6,153788
Tanya Choudhary,Male,24,South,Tablet,6,27786,UPI,5/19/2024,4.4,166716
Diya Choudhary,Female,26,South,Mobile,6,7110,UPI,10/21/2023,1.8,42660
Aditya Mishra,Male,41,East,Tablet,8,6930,Netbanking,10/4/2023,3.7,55440
Tanya Verma,Female,18,North,Laptop,1,40422,Card,3/13/2024,4.9,40422
Vivaan Nair,Male,25,West,Tablet,7,14328,Netbanking,4/17/2023,1.4,100296
Isha Verma,Female,41,West,Mobile,1,43413,Cash,10/19/2024,1,43413
Priya Nair,Female,28,North,Headphones,7,31997,UPI,2/24/2024,2.7,223979
Ishaan Kumar,Female,34,West,Laptop,3,39756,Netbanking,9/2/2024,1.4,119268
Sneha Reddy,Male,25,East,Headphones,8,37118,UPI,3/4/2024,4,296944
Riya Choudhary,Female,52,South,Laptop,3,46832,UPI,1/10/2024,4.7,140496
Diya Sharma,Male,52,East,Tablet,1,27026,Cash,3/14/2023,2.7,27026
Isha Verma,Male,50,South,Charger,8,30658,Netbanking,9/25/2024,2,245264
Aisha Kumar,Male,22,East,Charger,3,25532,Netbanking,1/30/2023,2.7,76596
Isha Verma,Female,59,East,Charger,2,38346,Cash,7/7/2023,3.9,76692
Krishna Patel,Female,56,West,Laptop,1,45436,Cash,12/30/2023,1,45436
Aditya Patel,Female,58,South,Mobile,3,30294,Netbanking,3/26/2024,3.4,90882
Ishaan Sharma,Male,45,East,Laptop,2,5948,Card,7/14/2023,3.5,11896
Ishaan Choudhary,Female,24,West,Headphones,2,29361,UPI,6/5/2023,3.6,58722
Sneha Reddy,Female,26,West,Mobile,6,28641,Cash,6/21/2023,2,171846
Aryan Choudhary,Male,25,West,Mobile,1,9574,UPI,2/10/2023,3.9,9574
Vihaan Gupta,Female,29,South,Mobile,2,6906,UPI,3/4/2023,1.4,13812
Aryan Mishra,Male,51,East,Mobile,6,32323,Card,1/23/2023,1.8,193938
Kabir Nair,Female,50,East,Tablet,3,23791,Netbanking,12/26/2023,4.5,71373
Vivaan Sharma,Male,40,West,Headphones,4,42068,UPI,3/16/2023,4,168272
Aisha Verma,Female,41,East,Headphones,1,32503,UPI,7/13/2024,1.1,32503
Riya Choudhary,Male,54,South,Headphones,8,47351,Cash,11/2/2024,2,378808
Isha Patel,Male,52,North,Laptop,7,34906,UPI,4/28/2023,1.9,244342
Aisha Kumar,Female,57,East,Laptop,7,23812,UPI,9/3/2024,2.1,166684
Tanya Sharma,Female,39,East,Tablet,3,43608,Netbanking,1/15/2024,2,130824
Rahul Nair,Female,44,West,Headphones,3,1882,UPI,11/9/2024,1.3,5646
Ananya Gupta,Female,52,South,Tablet,2,34671,Card,10/17/2023,2.8,69342
Riya Nair,Female,18,West,Mobile,1,42279,Cash,3/15/2024,3.9,42279
Aisha Kumar,Female,52,East,Laptop,7,3792,Netbanking,10/29/2024,3.4,26544
Vivaan Reddy,Female,54,West,Mobile,7,42279,Card,1/7/2023,3.7,295953
Tanya Reddy,Female,31,West,Laptop,2,33687,UPI,7/15/2023,1.3,67374
Diya Choudhary,Male,20,South,Tablet,7,12911,UPI,2/25/2024,4.8,90377
Kabir Patel,Female,18,South,Headphones,8,37785,Netbanking,7/21/2024,4.4,302280
Isha Patel,Male,22,South,Laptop,1,15922,Card,7/12/2023,4.2,15922
Aryan Joshi,Male,43,South,Charger,9,42968,Cash,7/12/2024,4.3,386712
Kavya Mishra,Male,31,South,Charger,7,32871,Netbanking,5/28/2023,4.7,230097
Vihaan Reddy,Female,56,North,Laptop,3,6193,Card,10/30/2024,3.2,18579
Aryan Kumar,Female,44,East,Laptop,8,34035,Netbanking,7/21/2023,1.8,272280
Aditya Gupta,Female,26,East,Tablet,7,15318,Netbanking,3/19/2024,3.5,107226
Aarav Joshi,Male,32,South,Headphones,8,31738,Card,2/23/2024,4,253904
Kabir Gupta,Male,32,East,Tablet,6,31374,Card,3/2/2024,4,188244
Simran Joshi,Female,43,West,Tablet,9,27215,Card,4/23/2024,3.1,244935
Rohan Mishra,Male,59,North,Headphones,5,28105,UPI,4/19/2024,1.3,140525
Aarav Sharma,Female,30,East,Laptop,3,34817,Cash,5/6/2023,2.5,104451
Simran Choudhary,Male,49,South,Headphones,3,31674,Netbanking,1/30/2024,4.7,95022
Kavya Mishra,Male,56,South,Charger,1,10456,UPI,7/29/2024,3.3,10456
Tanya Joshi,Female,49,West,Mobile,8,39408,Netbanking,11/21/2023,3.2,315264
Isha Verma,Female,21,North,Mobile,2,11337,UPI,1/27/2024,2.1,22674
Simran Reddy,Female,47,South,Charger,3,4216,UPI,11/18/2024,2.5,12648
Vihaan Sharma,Male,54,South,Laptop,8,4981,UPI,9/19/2024,4.6,39848
Sneha Choudhary,Male,40,East,Laptop,8,24782,Netbanking,3/15/2024,3.7,198256
Krishna Verma,Male,56,East,Laptop,4,7048,Card,7/23/2023,4.1,28192
Ananya Reddy,Female,32,North,Charger,4,38105,Cash,4/30/2024,2.8,152420
Rahul Nair,Female,46,South,Mobile,5,8258,Card,1/31/2023,3.5,41290
Ishaan Verma,Male,53,West,Charger,6,44168,UPI,1/23/2024,2,265008
Tanya Joshi,Male,30,South,Laptop,5,23677,UPI,9/16/2024,3.8,118385
Ishaan Joshi,Female,49,West,Tablet,7,24522,Netbanking,3/9/2024,2.7,171654
Isha Mishra,Female,24,North,Laptop,2,41261,Cash,1/11/2024,2.8,82522
Rohan Gupta,Male,39,North,Tablet,7,6042,Netbanking,12/10/2023,3.6,42294
Simran Reddy,Female,45,East,Headphones,7,25976,UPI,3/18/2024,4.7,181832
Simran Kumar,Female,19,South,Tablet,1,31284,UPI,8/1/2024,1.3,31284
Isha Patel,Male,59,North,Headphones,7,23240,Netbanking,3/16/2023,4.3,162680
Rahul Nair,Male,23,North,Charger,5,25317,Cash,7/10/2024,2.2,126585
Sneha Verma,Male,45,West,Laptop,3,48096,Netbanking,10/27/2024,2.8,144288
Ishaan Sharma,Male,45,East,Laptop,3,16552,Netbanking,6/4/2023,1.1,49656
Rahul Verma,Male,37,North,Mobile,4,35653,Cash,3/5/2024,2.2,142612
Sneha Choudhary,Female,47,North,Tablet,2,47576,Cash,12/29/2023,3,95152
Aditya Patel,Male,28,North,Tablet,2,1171,Card,3/23/2024,1.2,2342
Rohan Nair,Female,45,South,Charger,1,663,Card,8/22/2023,3,663
Krishna Reddy,Female,42,North,Headphones,5,41924,Card,7/16/2024,4.7,209620
Rohan Nair,Male,56,North,Headphones,4,44502,Netbanking,9/19/2023,1.4,178008
Aisha Kumar,Male,50,East,Laptop,2,5295,Card,5/5/2023,4.1,10590
Aisha Kumar,Female,18,West,Mobile,3,11134,UPI,9/2/2023,2.6,33402
Tanya Gupta,Male,44,East,Charger,7,5298,Cash,6/25/2024,3.6,37086
Vihaan Verma,Male,30,East,Laptop,7,22920,Cash,4/29/2024,2,160440
Aisha Kumar,Male,58,South,Laptop,4,29800,Card,5/2/2023,1.6,119200
Rohan Choudhary,Male,20,South,Mobile,5,24845,Netbanking,5/5/2023,1.6,124225
Rohan Verma,Female,56,North,Laptop,5,11249,Netbanking,7/2/2024,1.3,56245
Tanya Kumar,Male,23,West,Mobile,6,39095,UPI,6/19/2023,1.7,234570
Priya Reddy,Male,25,East,Tablet,9,25621,UPI,5/4/2023,3.7,230589
Diya Joshi,Male,44,East,Charger,2,37987,Netbanking,2/4/2023,4.5,75974
Kabir Verma,Female,26,East,Tablet,5,28911,Netbanking,3/28/2023,4.3,144555
Aryan Kumar,Male,54,East,Headphones,3,33861,Netbanking,10/7/2024,3.7,101583
Simran Patel,Female,50,West,Charger,4,21723,UPI,12/8/2024,1.4,86892
Simran Reddy,Male,59,East,Mobile,6,7894,Netbanking,7/20/2023,2.2,47364
Aryan Kumar,Female,41,North,Mobile,8,14556,Card,1/4/2024,2.2,116448
Ananya Reddy,Female,32,South,Mobile,1,28880,Cash,3/18/2023,2,28880
Aryan Patel,Female,49,North,Headphones,8,26535,Card,2/28/2023,3.1,212280
Diya Reddy,Female,49,North,Headphones,7,31120,Cash,3/6/2024,3.1,217840
Vihaan Verma,Male,41,South,Laptop,1,20377,Card,9/29/2024,2.4,20377
Rahul Patel,Male,58,South,Mobile,2,43904,Netbanking,5/14/2024,2.4,87808
Krishna Reddy,Female,29,North,Mobile,3,31411,Cash,4/19/2023,4.3,94233
Sneha Mishra,Female,56,West,Laptop,1,33284,Cash,10/5/2023,4.2,33284
Aditya Patel,Male,19,East,Laptop,9,3691,Netbanking,3/9/2023,2.2,33219
Priya Verma,Female,20,South,Laptop,8,33660,UPI,3/10/2023,4.7,269280
Rohan Reddy,Male,54,North,Mobile,2,25500,UPI,6/14/2023,4.8,51000
Krishna Gupta,Female,34,South,Tablet,9,39540,Cash,5/3/2024,2.3,355860
Kabir Kumar,Female,19,South,Headphones,7,4131,UPI,11/1/2023,2.4,28917
Diya Joshi,Male,19,East,Headphones,9,6672,Cash,11/4/2024,3,60048
Krishna Joshi,Female,45,South,Laptop,6,42580,UPI,12/31/2023,4.8,255480
Ananya Gupta,Male,40,West,Headphones,6,24061,Card,1/14/2024,4.5,144366
Kabir Reddy,Male,54,East,Laptop,4,25317,UPI,12/9/2023,1.4,101268
Isha Kumar,Male,49,North,Headphones,2,20781,UPI,7/7/2024,2.6,41562
Krishna Kumar,Female,50,North,Charger,7,29171,Card,12/20/2023,3.2,204197
Rohan Sharma,Female,18,North,Mobile,5,25864,Cash,2/20/2024,3,129320
Simran Patel,Female,36,South,Laptop,6,42174,Card,4/19/2023,1.8,253044
Aditya Sharma,Male,19,East,Laptop,2,27925,Card,7/16/2024,4.4,55850
Aryan Mishra,Male,43,East,Charger,5,29102,Card,5/11/2024,3.7,145510
Riya Mishra,Male,49,East,Mobile,4,23753,Netbanking,12/7/2023,4.4,95012
Simran Kumar,Female,23,West,Charger,9,23972,Netbanking,1/18/2024,4.4,215748
Kabir Gupta,Female,49,West,Tablet,6,49730,Netbanking,6/16/2024,4,298380
Vivaan Verma,Male,21,North,Tablet,2,8580,Cash,10/27/2023,2.8,17160
Ananya Sharma,Female,28,South,Laptop,1,7599,Card,5/19/2023,3.4,7599
Kabir Patel,Male,34,South,Laptop,5,25931,UPI,12/25/2023,1.6,129655
Rohan Choudhary,Male,55,North,Charger,9,31686,Cash,5/13/2024,3.7,285174
Kavya Patel,Male,41,South,Headphones,6,48184,Netbanking,1/20/2024,1.7,289104
Priya Choudhary,Female,22,East,Mobile,7,30611,Cash,8/26/2024,3.8,214277
Vihaan Patel,Female,51,East,Headphones,5,40351,Cash,10/7/2023,1.9,201755
Aisha Nair,Female,23,North,Charger,6,23114,Cash,9/28/2024,1.5,138684
Simran Reddy,Female,39,West,Tablet,5,27224,Netbanking,4/27/2024,1.7,136120
Rohan Kumar,Male,28,East,Headphones,9,42491,UPI,4/21/2023,1,382419
Rohan Nair,Male,33,North,Headphones,6,5440,Card,5/19/2023,3.9,32640
Ishaan Reddy,Female,50,East,Headphones,8,29258,Cash,3/10/2024,3.9,234064
Aryan Reddy,Male,26,North,Laptop,2,36724,Card,5/23/2024,3.1,73448
Riya Gupta,Male,23,North,Tablet,9,8288,UPI,9/30/2023,1.6,74592
Kabir Kumar,Male,33,South,Laptop,5,28582,Netbanking,4/9/2023,1.3,142910
Aarav Choudhary,Female,46,South,Laptop,7,24534,Netbanking,4/14/2023,1.1,171738
Aditya Nair,Female,20,West,Charger,1,35979,Card,8/2/2023,1.7,35979
Kavya Verma,Male,37,North,Tablet,5,11780,Cash,10/25/2024,4.6,58900
Tanya Joshi,Female,53,South,Tablet,2,18552,Cash,6/14/2023,2,37104
Riya Mishra,Female,36,South,Tablet,6,17031,Card,6/3/2024,2.4,102186
Kavya Kumar,Female,43,North,Laptop,1,23304,Card,10/11/2023,1.4,23304
Riya Joshi,Female,20,South,Tablet,3,29403,Netbanking,5/31/2024,1.9,88209
Aditya Patel,Female,36,East,Charger,5,45357,UPI,10/18/2024,3.1,226785
Priya Patel,Female,37,West,Charger,4,10642,Card,9/4/2024,3.4,42568
Diya Gupta,Female,49,South,Headphones,3,48855,Cash,6/13/2023,2,146565
Simran Verma,Female,24,South,Laptop,5,10366,Cash,10/20/2024,1.2,51830
Ananya Mishra,Female,58,North,Laptop,8,5031,UPI,3/5/2023,2.6,40248
Aditya Choudhary,Male,50,West,Mobile,4,45954,Cash,4/1/2023,1.9,183816
Rahul Verma,Male,57,South,Mobile,1,38598,UPI,4/27/2023,1.9,38598
Riya Joshi,Male,56,West,Charger,7,38778,Card,9/24/2023,4.8,271446
Diya Kumar,Female,35,East,Charger,8,28638,Cash,11/15/2024,3.5,229104
Priya Kumar,Female,57,East,Tablet,3,27565,Netbanking,7/12/2024,3.2,82695
Priya Mishra,Male,18,West,Headphones,6,30456,Netbanking,5/20/2023,2.7,182736
Rohan Mishra,Male,28,North,Tablet,2,42232,Netbanking,9/3/2023,2.7,84464
Isha Patel,Male,45,West,Charger,7,39761,UPI,10/22/2024,3.2,278327
Riya Reddy,Female,42,North,Tablet,8,11259,Card,1/30/2024,3.8,90072
Priya Joshi,Female,40,West,Charger,6,5939,Netbanking,5/1/2024,3.8,35634
Priya Verma,Male,48,West,Tablet,6,47741,UPI,4/20/2024,1.7,286446
Simran Patel,Female,47,North,Laptop,5,43033,Cash,5/31/2024,3,215165
Isha Joshi,Male,59,North,Mobile,8,28770,Card,7/3/2023,2.6,230160
Diya Sharma,Female,52,East,Charger,1,13779,UPI,1/20/2023,4.5,13779
Vihaan Joshi,Male,24,South,Tablet,4,39779,UPI,7/11/2024,3.5,159116
Sneha Gupta,Male,33,East,Laptop,4,44751,UPI,6/7/2024,3.1,179004
Aisha Joshi,Female,43,East,Tablet,3,24388,Card,8/4/2024,1.5,73164
Krishna Kumar,Male,19,West,Laptop,3,18130,UPI,6/12/2024,3.4,54390
Priya Joshi,Male,18,North,Headphones,4,35644,UPI,5/27/2023,1.5,142576
Vihaan Joshi,Male,29,West,Laptop,1,31682,Netbanking,10/27/2024,2.3,31682
Aryan Gupta,Female,22,North,Headphones,2,26038,Card,10/31/2023,1.6,52076
Vihaan Choudhary,Female,54,South,Headphones,9,12324,UPI,9/11/2024,3.8,110916
Priya Joshi,Female,49,South,Mobile,2,32625,Cash,8/4/2024,1.8,65250
Simran Patel,Male,26,South,Tablet,5,7479,Netbanking,11/25/2024,2.6,37395
Sneha Joshi,Female,58,South,Laptop,9,26689,Cash,8/16/2023,4.6,240201
Isha Nair,Female,52,West,Tablet,9,43100,Card,4/12/2023,1.8,387900
Priya Reddy,Female,36,East,Headphones,8,13004,Card,8/9/2024,3,104032
Riya Reddy,Male,33,South,Tablet,1,21169,UPI,2/21/2024,2.7,21169
Ishaan Mishra,Male,20,South,Tablet,1,7410,UPI,8/4/2023,1.1,7410
Rahul Patel,Female,37,South,Mobile,9,47357,Cash,2/11/2024,4.2,426213
Rahul Mishra,Female,41,East,Mobile,8,35464,UPI,2/3/2024,1.3,283712
Ishaan Verma,Female,50,North,Charger,9,20631,Netbanking,12/15/2024,2.9,185679
Diya Mishra,Male,41,South,Charger,7,25727,Card,12/4/2024,3.2,180089
Aryan Kumar,Female,28,West,Charger,3,6478,UPI,5/13/2024,3.5,19434
Kavya Mishra,Male,25,West,Laptop,3,22491,Card,4/9/2024,3.8,67473
Priya Sharma,Female,53,North,Tablet,2,17653,Netbanking,11/21/2024,2,35306
Aisha Choudhary,Female,55,West,Mobile,5,34048,Netbanking,12/31/2024,1,170240
Tanya Gupta,Female,57,West,Charger,3,43176,UPI,3/23/2023,3.9,129528
Ananya Patel,Male,37,West,Tablet,6,39571,Netbanking,8/26/2024,3.1,237426
Vihaan Kumar,Female,52,North,Headphones,2,47954,Card,11/17/2024,4.3,95908
Priya Gupta,Male,42,South,Headphones,3,4483,UPI,12/31/2023,4.3,13449
Isha Verma,Female,52,East,Laptop,5,10003,UPI,6/12/2023,4.4,50015
Rahul Reddy,Female,42,West,Charger,1,30421,Cash,2/17/2023,2.9,30421
Priya Gupta,Female,46,South,Laptop,1,17405,Card,5/25/2024,2.3,17405
Rahul Verma,Female,35,North,Charger,9,46338,Cash,11/25/2023,4.2,417042
Krishna Reddy,Female,35,East,Headphones,7,24453,Netbanking,4/26/2023,2.8,171171
Rahul Patel,Male,19,South,Laptop,1,27306,Netbanking,12/3/2023,1.7,27306
Priya Reddy,Male,52,North,Tablet,8,45500,Netbanking,5/27/2023,4.4,364000
Sneha Gupta,Female,33,South,Tablet,3,22668,Netbanking,7/28/2024,4.5,68004
Vivaan Nair,Male,58,East,Headphones,8,5083,Card,11/19/2023,2.9,40664
Ishaan Kumar,Male,53,West,Tablet,5,39214,Card,3/18/2024,1.3,196070
Tanya Joshi,Female,50,North,Laptop,1,49645,UPI,1/13/2023,2.6,49645
Rohan Gupta,Female,21,South,Mobile,7,40396,Cash,5/8/2024,4.2,282772
Aryan Gupta,Female,50,West,Laptop,5,12389,UPI,12/1/2024,4.6,61945
Vihaan Joshi,Male,31,East,Laptop,6,27913,UPI,10/14/2023,1.8,167478
Krishna Reddy,Female,38,West,Charger,6,12775,Cash,12/20/2024,1.3,76650
Rohan Verma,Male,37,North,Tablet,8,2961,Cash,4/24/2023,4.5,23688
Riya Nair,Female,25,East,Mobile,9,14791,UPI,4/24/2024,2.6,133119
Aditya Joshi,Male,24,South,Tablet,2,47304,Netbanking,1/22/2023,3.2,94608
Kabir Kumar,Male,20,North,Charger,9,11935,Card,12/15/2023,4.9,107415
Aryan Joshi,Female,34,East,Tablet,9,28435,UPI,12/26/2024,1.3,255915
Krishna Gupta,Female,50,East,Headphones,7,33953,UPI,11/13/2024,3.6,237671
Kavya Patel,Female,29,South,Charger,1,19044,Card,7/19/2024,1.3,19044
Isha Joshi,Female,39,North,Tablet,7,12758,Netbanking,11/16/2023,2.5,89306
Aisha Sharma,Male,39,East,Charger,5,31341,Card,5/6/2023,4.2,156705
Riya Choudhary,Male,47,East,Tablet,6,49258,Netbanking,10/4/2023,2.7,295548
Aryan Reddy,Male,55,West,Headphones,7,49690,Netbanking,7/23/2023,5,347830
Kabir Gupta,Male,55,North,Charger,5,11236,UPI,7/13/2023,3.2,56180
Simran Nair,Male,25,West,Headphones,7,38143,Card,11/11/2024,2.3,267001
Diya Verma,Male,44,East,Mobile,9,44450,Card,10/25/2024,1.9,400050
Aisha Reddy,Female,44,North,Headphones,3,35464,Netbanking,6/30/2024,2.4,106392
Priya Mishra,Female,51,North,Charger,8,28544,Card,11/26/2024,2.5,228352
Tanya Verma,Male,38,North,Mobile,2,40433,Cash,10/13/2023,1.3,80866
Vihaan Sharma,Female,47,East,Mobile,7,16497,Netbanking,2/26/2023,2.5,115479
Ananya Kumar,Male,50,West,Charger,2,14715,Card,10/30/2023,2.9,29430
Ananya Reddy,Female,45,North,Tablet,4,33569,UPI,6/12/2023,3.9,134276
Rohan Reddy,Female,50,West,Mobile,7,24411,Card,1/19/2023,3.6,170877
Krishna Choudhary,Male,22,West,Laptop,3,17530,Netbanking,1/5/2024,3.8,52590
Sneha Patel,Female,36,North,Headphones,2,29834,Netbanking,9/21/2023,1,59668
Aisha Patel,Male,21,West,Charger,7,15071,Cash,4/23/2023,1.9,105497
Tanya Sharma,Male,52,North,Mobile,1,43219,Cash,5/2/2024,3.6,43219
Rohan Sharma,Female,34,West,Tablet,8,29427,Cash,11/23/2023,2.9,235416
Ishaan Joshi,Female,45,South,Headphones,3,21214,Cash,6/25/2024,1,63642
Ananya Mishra,Male,47,North,Charger,2,44041,Cash,10/8/2024,4.2,88082
Vihaan Reddy,Female,46,West,Tablet,3,23887,Cash,8/1/2024,4.1,71661
Kavya Gupta,Male,23,West,Mobile,5,28944,Netbanking,3/6/2023,3.2,144720
Krishna Nair,Male,52,North,Mobile,8,49408,UPI,10/19/2023,1.3,395264
Ishaan Patel,Male,58,North,Laptop,7,20421,Netbanking,1/25/2023,4.1,142947
Krishna Sharma,Male,54,West,Laptop,7,13557,UPI,7/2/2024,3.3,94899
Aditya Nair,Male,41,North,Headphones,7,45768,Card,1/1/2023,4.1,320376
Simran Verma,Female,46,West,Laptop,8,25358,Netbanking,7/2/2024,4,202864
Tanya Kumar,Male,48,South,Tablet,1,49189,Netbanking,5/21/2023,4.2,49189
Aditya Mishra,Female,52,South,Tablet,4,45138,UPI,10/9/2024,3.1,180552
Krishna Mishra,Male,50,East,Mobile,6,26562,UPI,7/7/2023,1.6,159372
Vivaan Sharma,Female,38,South,Tablet,9,37350,Netbanking,5/8/2023,3.7,336150
